keyword,drift_total,distances
schubert,3.7225289442581326,"[('1993-1997', '2003-2007', 0.894590744661054), ('2003-2007', '2008-2012', 1.0), ('2008-2012', '2013-2017', 0.9426460665323596), ('2013-2017', '2018-2022', 0.8852921330647191)]"
everett,3.721121937984186,"[('1998-2002', '2003-2007', 0.5285954792089682), ('2003-2007', '2008-2012', 0.41074434901121026), ('2008-2012', '2013-2017', 0.7817821097640076), ('2013-2017', '2018-2022', 1.0), ('2018-2022', '2023-2027', 1.0)]"
film,3.698223304703363,"[('1993-1997', '2003-2007', 0.8232233047033631), ('2003-2007', '2013-2017', 1.0), ('2013-2017', '2018-2022', 0.875), ('2018-2022', '2023-2027', 1.0)]"
smt,3.698173674329673,"[('1993-1997', '1998-2002', 1.0), ('1998-2002', '2003-2007', 0.42264973081037416), ('2003-2007', '2008-2012', 0.5917517095361369), ('2008-2012', '2013-2017', 0.683772233983162), ('2013-2017', '2018-2022', 1.0)]"
triad,3.6973574747376574,"[('1993-1997', '2008-2012', 0.871435130693355), ('2008-2012', '2013-2017', 0.8259223440443022), ('2013-2017', '2018-2022', 1.0), ('2018-2022', '2023-2027', 1.0)]"
cycle,3.6914530247198303,"[('1998-2002', '2008-2012', 1.0), ('2008-2012', '2013-2017', 1.0), ('2013-2017', '2018-2022', 0.9046537410754407), ('2018-2022', '2023-2027', 0.7867992836443896)]"
theme,3.6772513878160487,"[('1993-1997', '2003-2007', 1.0), ('2003-2007', '2013-2017', 1.0), ('2013-2017', '2018-2022', 0.6772513878160485), ('2018-2022', '2023-2027', 1.0)]"
musicians,3.6372618749449943,"[('1993-1997', '1998-2002', 1.0), ('1998-2002', '2003-2007', 1.0), ('2003-2007', '2013-2017', 1.0), ('2013-2017', '2018-2022', 0.6372618749449941)]"
movement,3.627107169565179,"[('2003-2007', '2008-2012', 1.0), ('2008-2012', '2013-2017', 0.803883864861816), ('2013-2017', '2018-2022', 1.0), ('2018-2022', '2023-2027', 0.8232233047033631)]"
timing,3.602640292880487,"[('1993-1997', '2003-2007', 1.0), ('2003-2007', '2008-2012', 0.6026402928804868), ('2008-2012', '2013-2017', 1.0), ('2013-2017', '2018-2022', 1.0)]"
octatonic,3.591751709536137,"[('1998-2002', '2008-2012', 1.0), ('2008-2012', '2013-2017', 1.0), ('2013-2017', '2018-2022', 1.0), ('2018-2022', '2023-2027', 0.591751709536137)]"
tones,3.5660687892170686,"[('1998-2002', '2003-2007', 0.8110177634953863), ('2003-2007', '2013-2017', 1.0), ('2013-2017', '2018-2022', 0.7550510257216821), ('2018-2022', '2023-2027', 1.0)]"
china,3.5612574113277207,"[('1993-1997', '1998-2002', 0.6666666666666665), ('1998-2002', '2008-2012', 1.0), ('2008-2012', '2018-2022', 1.0), ('2018-2022', '2023-2027', 0.894590744661054)]"
duration,3.552786404500042,"[('1993-1997', '1998-2002', 0.5527864045000421), ('1998-2002', '2003-2007', 1.0), ('2003-2007', '2008-2012', 1.0), ('2008-2012', '2013-2017', 1.0)]"
boulez,3.550134899233604,"[('1993-1997', '1998-2002', 0.8881966011250105), ('1998-2002', '2003-2007', 0.6619382981085933), ('2003-2007', '2018-2022', 1.0), ('2018-2022', '2023-2027', 1.0)]"
popular music,3.5329684727885056,"[('1998-2002', '2003-2007', 0.8259223440443022), ('2003-2007', '2008-2012', 0.8075499102701247), ('2008-2012', '2013-2017', 0.8994962184740788), ('2013-2017', '2018-2022', 1.0)]"
haydn,3.510451275272202,"[('1998-2002', '2003-2007', 1.0), ('2003-2007', '2008-2012', 1.0), ('2008-2012', '2013-2017', 0.7398670091427639), ('2013-2017', '2018-2022', 0.7705842661294382)]"
recordings,3.4555711181010453,"[('2003-2007', '2008-2012', 0.7113248654051871), ('2008-2012', '2013-2017', 0.8333333333333334), ('2013-2017', '2018-2022', 0.9109129193625252), ('2018-2022', '2023-2027', 1.0)]"
composers,3.4530766604798293,"[('1993-1997', '1998-2002', 0.8613249509436927), ('1998-2002', '2003-2007', 0.5917517095361369), ('2003-2007', '2013-2017', 1.0), ('2013-2017', '2018-2022', 1.0)]"
minor,3.4514052098235624,"[('1993-1997', '2003-2007', 0.9019419324309079), ('2003-2007', '2008-2012', 0.7851655377881701), ('2008-2012', '2013-2017', 1.0), ('2013-2017', '2018-2022', 0.7642977396044841)]"
stravinsky,3.435414033556159,"[('1993-1997', '2003-2007', 1.0), ('2003-2007', '2008-2012', 0.7979694910895578), ('2008-2012', '2013-2017', 0.7817821097640076), ('2013-2017', '2018-2022', 0.8556624327025936)]"
